Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
AALNV;15;MSL101;2024-01-06;19:30;0862447;ALTERNA STADE POITEVIN VB;0066927;NICE Volley-Ball;;;;LAWSON BODY;HOUNNOUKPE JOEL;LEBALC'H PIERRICK;;
AALNV;15;MSL102;2024-01-05;20:00;0442477;NANTES REZE METROPOLE;0314739;SPACER'S TOULOUSE Volley-Ball;;;;LA TROCARDIÈRE;CARQUIN JEROME;LAUNOIS SYLVAIN;;
AALNV;15;MSL103;2024-01-06;19:30;0114939;NARBONNE Volley;0449605;ST NAZAIRE VB ATLANTIQUE;;;;L'ARENA;JUAN STEPHANE;SIEGL FREDERIC;;
AALNV;15;MSL104;2024-01-06;20:00;0523906;CHAUMONT VB 52 HAUTE-MARNE;0374861;TOURS Volley-Ball;;;;PALESTRA;HAYAUX DU TILLY MATHILDE;KAISER CHANTAL;;
AALNV;15;MSL105;2024-01-06;17:00;0349271;MONTPELLIER CASTELNAU Volley UC;0337145;AS ILLACAISE VB;;;;CHABAN DELMAS;GILBERT SYLVAIN;COLLADOS FABRICE;;
AALNV;16;MSL106;2024-01-13;18:00;0314739;SPACER'S TOULOUSE Volley-Ball;0343330;ARAGO DE SETE;;;;ANDRE BROUAT;HAYAUX DU TILLY MATHILDE;GADENNE CAMILLE;;
AALNV;16;MSL107;2024-01-13;19:00;0929372;PLESSIS-ROBINSON Volley-Ball;0114939;NARBONNE Volley;;;;ESP. OMNISPORTS;MALAGOLI CHARLENE;BRASSART GEOFFREY;;
AALNV;16;MSL108;2024-01-13;19:00;0337145;AS ILLACAISE VB;0523906;CHAUMONT VB 52 HAUTE-MARNE;;;;PIERRE FAVRE;LEBALC'H PIERRICK;HOUNNOUKPE JOEL;;
AALNV;16;MSL109;2024-01-13;20:00;0374861;TOURS Volley-Ball;0442477;NANTES REZE METROPOLE;;;;ROBERT GRENON;RAGUET PATRICK;VANDERBEEKEN STEFAN;;
AALNV;16;MSL110;2024-01-13;20:00;0449605;ST NAZAIRE VB ATLANTIQUE;0349271;MONTPELLIER CASTELNAU Volley UC;;;;COUBERTIN;ZGHEIB JOSEPH;KARA MAXIME;;
AALNV;16;MSL111;2024-01-13;19:00;0066927;NICE Volley-Ball;0594680;TOURCOING VB LILLE METROPOLE;;;;PALMEIRA;KAISER CHANTAL;CHOUMAN ALAIN;;
AALNV;16;MSL112;2024-01-13;18:00;0757777;PARIS Volley;0862447;ALTERNA STADE POITEVIN VB;;;;PIERRE CHARPY;BERARD MARC;CARRE SYLVAIN;;
AALNV;17;MSL113;2024-01-20;18:00;0314739;SPACER'S TOULOUSE Volley-Ball;0757777;PARIS Volley;;;;ANDRE BROUAT;JACOB SEBASTIEN;BOUACHERIA SEBASTIEN;;
AALNV;17;MSL114;2024-01-20;19:00;0594680;TOURCOING VB LILLE METROPOLE;0337145;AS ILLACAISE VB;;;;MARECHAL - HARNES;JUAN STEPHANE;MORCHOISNE FRANCK;;
AALNV;17;MSL115;2024-01-20;19:30;0343330;ARAGO DE SETE;0114939;NARBONNE Volley;;;;LOUIS MARTY;SIEGL FREDERIC;REJAEYAN EHSAN;;
AALNV;17;MSL116;2024-01-20;19:30;0862447;ALTERNA STADE POITEVIN VB;0374861;TOURS Volley-Ball;;;;LAWSON BODY;GILBERT SYLVAIN;VIGNERON CHRISTOPHE;;
AALNV;17;MSL117;2024-01-20;19:30;0349271;MONTPELLIER CASTELNAU Volley UC;0066927;NICE Volley-Ball;;;;CHABAN DELMAS;GUILLET OLIVIER;GALANT PHILIPPE;;
AALNV;17;MSL118;2024-01-20;20:00;0523906;CHAUMONT VB 52 HAUTE-MARNE;0929372;PLESSIS-ROBINSON Volley-Ball;;;;PALESTRA;GADENNE CAMILLE;CARQUIN JEROME;;
AALNV;17;MSL119;2024-01-20;20:00;0449605;ST NAZAIRE VB ATLANTIQUE;0442477;NANTES REZE METROPOLE;;;;COUBERTIN;DJADOUN BRAHIM;LECOURT CHRISTOPHE;;
