Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;02;CFY006;2023-11-12;00:00;0382203;CA VOLLEY BALL JALIOROMAIN;0634293;RIOM VOLLEY-BALL; 0/2;18-25,19-25;37-50;GYMNASE LYCEE LA PLEIADE;DARFEUILLE JEROME;DESAYES JEAN-PHILIPPE;;
ACJEUNES;02;CFZ004;2023-11-12;11:00;0698439;FIDESIENNE VOLLEY BALL;0693332;VOLLEY-BALL VILLEFRANCHE BEAUJOLAIS; 2/1;25-22,20-25,15-10;60-57;PLAN DU LOUP;ZANETTI ARNAUD;BONNARD LOU;;
ACJEUNES;02;CFZ005;2023-11-12;00:00;0693332;VOLLEY-BALL VILLEFRANCHE BEAUJOLAIS;0745091;ANNECY VOLLEY BALL; 2/0;25-16,25-20;50-36;PLAN DU LOUP;ZANETTI ARNAUD;;;
ACJEUNES;02;CFZ006;2023-11-12;00:00;0698439;FIDESIENNE VOLLEY BALL;0745091;ANNECY VOLLEY BALL; 0/2;16-25,17-25;33-50;PLAN DU LOUP;ZANETTI ARNAUD;;;
ACJEUNES;02;CG1004;2023-11-12;11:00;0019241;SAINT-MAURICE COTIERE VOLLEY;0382205;PAYS VOIRONNAIS VOLLEY - PVV; 2/0;25-9,25-20;50-29;GYMNASE DU COLLÈGE L.AMSTRONG;TANLET GERARD;SITHIDEJ THAVISAK;;
ACJEUNES;02;CG1005;2023-11-12;00:00;0382205;PAYS VOIRONNAIS VOLLEY - PVV;0420026;ROANNE RIORGES VOLLEY-BALL; 2/0;25-20,25-16;50-36;GYMNASE DU COLLÈGE L.AMSTRONG;SITHIDEJ THAVISAK;TANLET GERARD;;
ACJEUNES;02;CG1006;2023-11-12;00:00;0019241;SAINT-MAURICE COTIERE VOLLEY;0420026;ROANNE RIORGES VOLLEY-BALL; 2/0;25-19,25-19;50-38;GYMNASE DU COLLÈGE L.AMSTRONG;TANLET GERARD;SITHIDEJ THAVISAK;;
ACJEUNES;02;CG2004;2023-11-12;13:00;0218956;CLUB SPOR. FONTAINE LES DIJON;0015372;L'ENVOLLEY 01; 2/0;25-21,25-13;50-34;GYMNASE DES CORTOTS 1;AUGUSTE FREDY;RIBOULET SEBASTIEN;;
ACJEUNES;02;CG2005;2023-11-12;00:00;0015372;L'ENVOLLEY 01;0543620;VANDOEUVRE-NANCY VOLLEY-BALL; 0/2;12-25,12-25;24-50;GYMNASE DES CORTOTS 1;AUGUSTE FREDY;RIBOULET SEBASTIEN;;
ACJEUNES;02;CG2006;2023-11-12;00:00;0218956;CLUB SPOR. FONTAINE LES DIJON;0543620;VANDOEUVRE-NANCY VOLLEY-BALL; 0/2;9-25,7-25;16-50;GYMNASE DES CORTOTS 1;RIBOULET SEBASTIEN;AUGUSTE FREDY;;
ACJEUNES;02;CG3004;2023-11-12;15:00;0862442;CEP POITIERS/ST BENOIT V.B.;0856917;AMICALE SPORT LANDAISE; 1/2;25-22,23-25,8-15;56-62;SALLE DU GRAVION;LE ROY PHILIPPE;PINOGES GUY;;
ACJEUNES;02;CG3005;2023-11-12;00:00;0856917;AMICALE SPORT LANDAISE;0034954;STADE MONTLUCONNAIS; 2/0;25-13,25-5;50-18;SALLE DU GRAVION;PINOGES GUY;LE ROY PHILIPPE;;
ACJEUNES;02;CG3006;2023-11-12;00:00;0862442;CEP POITIERS/ST BENOIT V.B.;0034954;STADE MONTLUCONNAIS; 2/0;25-2,25-12;50-14;SALLE DU GRAVION;PINOGES GUY;LE ROY PHILIPPE;;
ACJEUNES;02;CG4004;2023-11-12;13:00;0912762;VOLLEY-BALL DE MILLY LA FORET;0923631;MEUDON CHAVILLE SEVRES VB; 0/2;16-25,10-25;26-50;GYMNASE DES ROCHES;ANDRIANARISOA JAONA;;;
ACJEUNES;02;CG4005;2023-11-12;00:00;0923631;MEUDON CHAVILLE SEVRES VB;0454144;ETUDIANT CLUB ORLEANAIS; 2/0;25-11,25-16;50-27;GYMNASE DES ROCHES;ANDRIANARISOA JAONA;;;
ACJEUNES;02;CG4006;2023-11-12;00:00;0912762;VOLLEY-BALL DE MILLY LA FORET;0454144;ETUDIANT CLUB ORLEANAIS; 2/0;25-17,25-16;50-33;GYMNASE DES ROCHES;ANDRIANARISOA JAONA;;;
ACJEUNES;02;CG5004;2023-11-12;11:00;0918042;EN SP MONTGERONNAISE;0946822;ASA MAISONS ALFORT; 2/1;23-25,25-22,15-3;63-50;GYMNASE DU NOUZET;SAINT FELIX YVES;;;
ACJEUNES;02;CG5005;2023-11-12;00:00;0946822;ASA MAISONS ALFORT;0912770;ASV - ARTS ET SPORTS A VILLEBON; 0/2;13-25,5-25;18-50;GYMNASE DU NOUZET;SAINT FELIX YVES;;;
