Entit�;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;04;BML010;2022-01-09;11:00;0628128;LOISIRS INTER SPORT ST PIERRE;0595712;VOLLEY CLUB SAINT POLOIS; 0/2;13-25,26-28;39-53;SALLE QUINET;ELOY GUILLAUME;;
ACJEUNES;04;BML011;2022-01-09;00:00;0595712;VOLLEY CLUB SAINT POLOIS;0784696;AS VOLLEY-BALL VELIZY; 1/2;22-25,25-14,13-15;60-54;SALLE QUINET;ELOY GUILLAUME;;
ACJEUNES;04;BML012;2022-01-09;00:00;0628128;LOISIRS INTER SPORT ST PIERRE;0784696;AS VOLLEY-BALL VELIZY; 2/1;25-20,21-25,18-16;64-61;SALLE QUINET;ELOY GUILLAUME;;
ACJEUNES;04;BMM010;2022-01-09;11:00;0757954;PARIS AMICALE CAMOU;0757777;PUC VOLLEY-BALL; 0/2;18-25,23-25;41-50;DUPLEIX;VILLESALMON ERIC;;
ACJEUNES;04;BMM011;2022-01-09;00:00;0757777;PUC VOLLEY-BALL;0912770;ASV - ARTS ET SPORTS A VILLEBON; 2/0;25-15,25-14;50-29;DUPLEIX;VILLESALMON ERIC;;
ACJEUNES;04;BMM012;2022-01-09;00:00;0757954;PARIS AMICALE CAMOU;0912770;ASV - ARTS ET SPORTS A VILLEBON; 0/2;9-25,21-25;30-50;DUPLEIX;VILLESALMON ERIC;;
ACJEUNES;04;BMN010;2022-01-09;11:00;0941410;VIE AU GRAND AIR DE ST MAUR;0788680;AS. SP DE SARTROUVILLE; 0/2;19-25,17-25;36-50;BROSSOLETTE;BABIN JULIEN;;
ACJEUNES;04;BMN011;2022-01-09;00:00;0788680;AS. SP DE SARTROUVILLE;0622126;HARNES VOLLEY-BALL; 2/0;25-13,26-24;51-37;BROSSOLETTE;BABIN JULIEN;;
ACJEUNES;04;BMN012;2022-01-09;00:00;0941410;VIE AU GRAND AIR DE ST MAUR;0622126;HARNES VOLLEY-BALL; 0/2;14-25,16-25;30-50;BROSSOLETTE;BABIN JULIEN;;
ACJEUNES;05;BMA013;2022-02-13;11:00;0788680;AS. SP DE SARTROUVILLE;0628128;LOISIRS INTER SPORT ST PIERRE; 2/1;24-26,25-15,15-4;64-45;JOLIOT CURIE;BARAN YUSUF;;
ACJEUNES;05;BMA014;2022-02-13;00:00;0628128;LOISIRS INTER SPORT ST PIERRE;0544386;UNION SPORTIVE DU JARNISY; 2/0;25-9,25-14;50-23;JOLIOT CURIE;BARAN YUSUF;;
ACJEUNES;05;BMA015;2022-02-13;00:00;0788680;AS. SP DE SARTROUVILLE;0544386;UNION SPORTIVE DU JARNISY; 2/0;25-14,25-22;50-36;JOLIOT CURIE;BARAN YUSUF;;
ACJEUNES;05;BMB013;2022-02-06;11:00;0696380;AS CALUIRE ET CUIRE;0345002;ASBAM MONTPELLIER; 0/2;4-25,15-25;19-50;ANDRE CUZIN;CHEVALIER CARLA;;
ACJEUNES;05;BMB014;2022-02-06;00:00;0345002;ASBAM MONTPELLIER;0640001;LESCAR PROMOTION VOLLEY-BALL; 2/1;24-26,25-12,15-13;64-51;ANDRE CUZIN;CHEVALIER CARLA;;
ACJEUNES;05;BMB015;2022-02-06;00:00;0696380;AS CALUIRE ET CUIRE;0640001;LESCAR PROMOTION VOLLEY-BALL; 2/1;25-20,22-25,15-9;62-54;ANDRE CUZIN;CHEVALIER CARLA;;
ACJEUNES;05;BMC013;2022-02-06;11:00;0912770;ASV - ARTS ET SPORTS A VILLEBON;0374835;MONTS VOLLEY-BALL; 2/0;25-21,25-20;50-41;COMPLEXE SAINT-EXUPERY;PHAM THOMAS;;
ACJEUNES;05;BMC014;2022-02-06;00:00;0374835;MONTS VOLLEY-BALL;0449605;ST NAZAIRE VB ATLANTIQUE; 0/2;23-25,18-25;41-50;COMPLEXE SAINT-EXUPERY;PHAM THOMAS;;
ACJEUNES;05;BMC015;2022-02-06;00:00;0912770;ASV - ARTS ET SPORTS A VILLEBON;0449605;ST NAZAIRE VB ATLANTIQUE; 2/0;25-17,25-18;50-35;COMPLEXE SAINT-EXUPERY;PHAM THOMAS;;
ACJEUNES;05;BMD013;2022-02-06;11:00;0622126;HARNES VOLLEY-BALL;0757777;PUC VOLLEY-BALL; 0/2;20-25,13-25;33-50;SALLE R�GIONALE MAR�CHAL;WIBAUX EMELYNE;;
ACJEUNES;05;BMD014;2022-02-06;00:00;0757777;PUC VOLLEY-BALL;0761503;MAROMME CANTELEU VOLLEY 76; 2/0;25-13,25-11;50-24;SALLE R�GIONALE MAR�CHAL;WIBAUX EMELYNE;;
ACJEUNES;05;BMD015;2022-02-06;00:00;0622126;HARNES VOLLEY-BALL;0761503;MAROMME CANTELEU VOLLEY 76; 2/0;25-14,25-19;50-33;SALLE R�GIONALE MAR�CHAL;WIBAUX EMELYNE;;
