Entit�;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ABCCS;03;2FB013;2023-10-22;14:00;0948308;UNION SPORTIVE DE VILLEJUIF;0646282;MJC LES FLEURS DE PAU; 3/0;25-14,25-16,25-9;75-39;HALLE COLETTE BESSON;JAMET ADRIEN;JOLY FRANCK;
ABCCS;03;2FB014;2023-10-22;14:00;0330014;J.S.A. BORDEAUX;0335197;SPORT ATHLETIQUE MERIGNACAIS; 3/1;22-25,25-15,25-14,25-19;97-73;SALLE MAITRE JEAN;GHENIMI NOUR'AMIR;DECHOUX CHRISTIAN;
ABCCS;03;2FB015;2023-10-22;14:00;0337145;ASSOCIATION SPORTIVE ILLACAISE VOLLEY-BALL;0921672;SAINT-CLOUD PARIS SF 2 CFC; 3/0;25-21,29-27,25-21;79-69;PIERRE FAVRE;LARRIEU DAVID;ALI MOUSSA;
ABCCS;04;2FB016;2023-11-05;14:00;0337145;ASSOCIATION SPORTIVE ILLACAISE VOLLEY-BALL;;xxxxx;;;;PIERRE FAVRE;;;
ABCCS;04;2FB017;2023-11-05;16:00;0921672;SAINT-CLOUD PARIS SF 2 CFC;0330014;J.S.A. BORDEAUX; 3/2;22-25,25-8,16-25,25-19,15-10;103-87;GYMNASE VERHAEREN;FILLIEUX LOIC;SAI MAAMAR;
ABCCS;04;2FB018;2023-11-04;19:00;0335197;SPORT ATHLETIQUE MERIGNACAIS;0948308;UNION SPORTIVE DE VILLEJUIF; 0/3;12-25,14-25,22-25;48-75;DANIEL COLOMBIER;TRUONG KIM;BRANDELON DOMINIQUE;
ABCCS;04;2FB019;2023-11-05;15:00;0646282;MJC LES FLEURS DE PAU;0798259;VOLLEY-BALL PEXINOIS NIORT; 0/3;18-25,17-25,18-25;53-75;LEO LAGRANGE;LARTIGUE PHILIPPE;DOMINGUEZ LUCIO MARCIAL;
ABCCS;04;2FB020;2023-11-04;20:30;0920003;UGS VOLLEY SEINE OUEST;0788680;AS. SP DE SARTROUVILLE; 2/3;22-25,25-13,25-27,25-23,12-15;109-103;GYMNASE DES 100 GARDES;DINARD QUENTIN;PITOUX LAURENT;
ABCCS;05;2FB021;2023-11-19;15:00;;xxxxx;0920003;UGS VOLLEY SEINE OUEST;;;;SALLE DU GRAVION;;;
ABCCS;05;2FB022;2023-11-19;13:00;0788680;AS. SP DE SARTROUVILLE;0646282;MJC LES FLEURS DE PAU; 1/3;22-25,25-11,19-25,22-25;88-86;CARNOT;ABBAS MEHDI;DINARD QUENTIN;
ABCCS;05;2FB023;2023-11-19;15:00;0798259;VOLLEY-BALL PEXINOIS NIORT;0335197;SPORT ATHLETIQUE MERIGNACAIS; 0/3;20-25,21-25,19-25;60-75;HENRI BARBUSSE;GEORGE ALLISTER;THEBAULT VALERIE;
ABCCS;05;2FB024;2023-11-19;14:00;0948308;UNION SPORTIVE DE VILLEJUIF;0921672;SAINT-CLOUD PARIS SF 2 CFC; 3/0;25-21,25-15,25-22;75-58;HALLE COLETTE BESSON;SALINAS KRYSTINA;PRAUD FREDERIC;
ABCCS;05;2FB025;2023-11-19;14:00;0330014;J.S.A. BORDEAUX;0337145;ASSOCIATION SPORTIVE ILLACAISE VOLLEY-BALL; 1/3;23-25,25-16,15-25,18-25;81-91;SALLE MAITRE JEAN;DOMINGUEZ LUCIO MARCIAL;GOZLAN STEPHANE;
ABCCS;06;2FB026;2023-11-26;14:00;0330014;J.S.A. BORDEAUX;;xxxxx;;;;SALLE MAITRE JEAN;;;
