Entit�;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;03;CFH007;2021-12-12;11:00;0590036;VOLLEY CLUB DE VALENCIENNES;0595712;VOLLEY CLUB SAINT POLOIS; 2/1;25-23,11-25,17-15;53-63;SALLE DU HAINAUT;PAGA GILLES;BOUREZ MICHAEL;
ACJEUNES;03;CFH008;2021-12-12;00:00;0595712;VOLLEY CLUB SAINT POLOIS;0027343;VILLERS COTTERETS VOLLEY-BALL; 2/0;25-10,25-5;50-15;SALLE DU HAINAUT;PAGA GILLES;BOUREZ MICHAEL;
ACJEUNES;03;CFH009;2021-12-12;00:00;0590036;VOLLEY CLUB DE VALENCIENNES;0027343;VILLERS COTTERETS VOLLEY-BALL; 2/0;25-23,25-17;50-40;SALLE DU HAINAUT;BOUREZ MICHAEL;PAGA GILLES;
ACJEUNES;03;CFI007;2021-12-12;11:00;0923631;MEUDON CHAVILLE SEVRES VB;0757954;PARIS AMICALE CAMOU; 0/2;11-25,11-25;22-50;HALIMI;THOMAS GAEL;;
ACJEUNES;03;CFI008;2021-12-12;00:00;0757954;PARIS AMICALE CAMOU;0779890;US LOGNES VOLLEY-BALL; 2/0;25-18,25-15;50-33;HALIMI;THOMAS GAEL;;
ACJEUNES;03;CFI009;2021-12-12;00:00;0923631;MEUDON CHAVILLE SEVRES VB;0779890;US LOGNES VOLLEY-BALL; 0/2;17-25,15-25;32-50;HALIMI;THOMAS GAEL;;
ACJEUNES;03;CFJ007;2021-12-12;11:00;0927953;ASNIERES VOLLEY 92;0750043;SPORTING CLUB NORD PARISIEN; 2/0;25-15,28-26;53-41;GYMNASE DES COURTILLES;TOUSSAINT THOMAS;;
ACJEUNES;03;CFJ008;2021-12-12;00:00;0750043;SPORTING CLUB NORD PARISIEN;0938427;NOISY LE GRAND VOLLEY-BALL; 0/2;13-25,23-25;36-50;GYMNASE DES COURTILLES;TOUSSAINT THOMAS;;
ACJEUNES;03;CFJ009;2021-12-12;00:00;0927953;ASNIERES VOLLEY 92;0938427;NOISY LE GRAND VOLLEY-BALL; 2/0;25-19,25-17;50-36;GYMNASE DES COURTILLES;TOUSSAINT THOMAS;;
ACJEUNES;03;CFK007;2021-12-12;11:00;0955698;AS VOLLEY-BALL TAVERNY SAINT-LEU;0946784;VINCENNES VOLLEY CLUB; 0/2;23-25,16-25;39-50;GYMNASE JEAN MOULIN;CAPITAINE THIERRY;;
ACJEUNES;03;CFK008;2021-12-12;00:00;0946784;VINCENNES VOLLEY CLUB;0148994;ELAN SPORTIF DE CARPIQUET DE VOLLEY; 1/2;25-17,13-25,8-15;46-57;GYMNASE JEAN MOULIN;CAPITAINE THIERRY;;
ACJEUNES;03;CFK009;2021-12-12;00:00;0955698;AS VOLLEY-BALL TAVERNY SAINT-LEU;0148994;ELAN SPORTIF DE CARPIQUET DE VOLLEY; 0/2;22-25,23-25;45-50;GYMNASE JEAN MOULIN;CAPITAINE THIERRY;;
ACJEUNES;03;CFL007;2021-12-12;11:00;0758726;SPORTING CLUB PARIS VOLLEY;0948308;UNION SPORTIVE DE VILLEJUIF; 0/2;14-25,20-25;34-50;GYMNASE VALEYRE;HEBERT PHILIPPE;;
ACJEUNES;03;CFL008;2021-12-12;00:00;0948308;UNION SPORTIVE DE VILLEJUIF;0923959;AS.SP.VOLTAIRE CHATENAY; 2/0;25-6,25-14;50-20;GYMNASE VALEYRE;HEBERT PHILIPPE;;
ACJEUNES;03;CFL009;2021-12-12;00:00;0758726;SPORTING CLUB PARIS VOLLEY;0923959;AS.SP.VOLTAIRE CHATENAY; 2/0;25-17,25-11;50-28;GYMNASE VALEYRE;HEBERT PHILIPPE;;
ACJEUNES;03;CFM007;2021-12-12;10:00;0788680;AS. SP DE SARTROUVILLE;0785464;CONFLANS-ANDRESY-JOUY VB; 2/0;25-16,25-14;50-30;CARNOT;VILLESALMON ERIC;;
ACJEUNES;03;CFM008;2021-12-12;00:00;0785464;CONFLANS-ANDRESY-JOUY VB;0927924;C S M CLAMART; 1/2;25-23,11-25,9-15;45-63;CARNOT;VILLESALMON ERIC;;
ACJEUNES;03;CFM009;2021-12-12;00:00;0788680;AS. SP DE SARTROUVILLE;0927924;C S M CLAMART; 2/0;25-10,25-12;50-22;CARNOT;VILLESALMON ERIC;;
ACJEUNES;03;CFN007;2021-12-12;11:00;0921672;SAINT-CLOUD PARIS SF;0912770;ASV - ARTS ET SPORTS A VILLEBON; 0/2;11-25,21-25;32-50;LA FOUILLEUSE;ANDRIANARISOA JAONA;;
