Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;02;CMV004;2022-11-13;11:00;0594680;TOURCOING VOLLEY-BALL L.M.;0599844;MOUVEMENT VOLLEY BALL; 0/2;10-25,12-25;22-50;SALLE DES ORIONS;DECORDE CEDRIC;;;
ACJEUNES;02;CMV005;2022-11-13;00:00;0599844;MOUVEMENT VOLLEY BALL;0622126;HARNES VOLLEY-BALL; 0/2;14-25,13-25;27-50;SALLE DES ORIONS;DECORDE CEDRIC;;;
ACJEUNES;02;CMV006;2022-11-13;00:00;0594680;TOURCOING VOLLEY-BALL L.M.;0622126;HARNES VOLLEY-BALL; 0/2;7-25,11-25;18-50;SALLE DES ORIONS;DECORDE CEDRIC;;;
ACJEUNES;02;CMW004;2022-11-13;11:00;0599522;VC BELLAING/PORTE DU HAINAUT;0593336;ST MICHEL SPORTS MARQUETTE; 0/2;16-25,21-25;37-50;GERMINAL;RAGUET PATRICK;;;
ACJEUNES;02;CMW005;2022-11-13;00:00;0593336;ST MICHEL SPORTS MARQUETTE;0599848;DUNKERQUE GRAND LITTORAL V.B.; 0/2;12-25,18-25;30-50;GERMINAL;RAGUET PATRICK;;;
ACJEUNES;02;CMW006;2022-11-13;00:00;0599522;VC BELLAING/PORTE DU HAINAUT;0599848;DUNKERQUE GRAND LITTORAL V.B.; 0/2;12-25,12-25;24-50;GERMINAL;RAGUET PATRICK;;;
ACJEUNES;02;CMX004;2022-11-13;11:00;0803771;AMIENS METROPOLE VOLLEY;0622016;TOUQUET A.C. VOLLEY-BALL AND BEACH; 0/2;7-25,10-25;17-50;GYMNASE LA PAIX;DEMIRYUREK KENAN-OMER;;;
ACJEUNES;02;CMX005;2022-11-13;00:00;0622016;TOUQUET A.C. VOLLEY-BALL AND BEACH;0761509;LE HAVRE ESTUAIRE VOLLEY-BALL; 2/0;25-14,25-20;50-34;GYMNASE LA PAIX;DEMIRYUREK KENAN-OMER;;;
ACJEUNES;02;CMX006;2022-11-13;00:00;0803771;AMIENS METROPOLE VOLLEY;0761509;LE HAVRE ESTUAIRE VOLLEY-BALL; 0/2;12-25,11-25;23-50;GYMNASE LA PAIX;DEMIRYUREK KENAN-OMER;;;
ACJEUNES;02;CMY004;2022-11-13;11:00;0757954;PARIS AMICALE CAMOU;0943861;CNM CHARENTON; 0/2;18-25,24-26;42-51;DUPLEIX;PITOUX LAURENT;;;
ACJEUNES;02;CMY005;2022-11-13;00:00;0943861;CNM CHARENTON;0786162;VOLLEY-CLUB PLAISIR-VILLEPREUX; 2/0;25-20,25-12;50-32;DUPLEIX;PITOUX LAURENT;;;
ACJEUNES;02;CMY006;2022-11-13;00:00;0757954;PARIS AMICALE CAMOU;0786162;VOLLEY-CLUB PLAISIR-VILLEPREUX; 2/0;25-20,25-18;50-38;DUPLEIX;PITOUX LAURENT;;;
ACJEUNES;02;CMZ004;2022-11-13;14:30;0946822;ASA MAISONS ALFORT;0750043;SPORTING CLUB NORD PARISIEN; 1/2;17-25,25-23,12-15;54-63;CONDORCET;BABIN JULIEN;;;
ACJEUNES;02;CMZ005;2022-11-13;00:00;0750043;SPORTING CLUB NORD PARISIEN;0957908;V.B. CLUB ERMONT; 0/2;18-25,20-25;38-50;CONDORCET;BABIN JULIEN;;;
ACJEUNES;02;CMZ006;2022-11-13;00:00;0946822;ASA MAISONS ALFORT;0957908;V.B. CLUB ERMONT; 0/2;11-25,14-25;25-50;CONDORCET;BABIN JULIEN;;;
ACJEUNES;02;CX1004;2022-11-13;11:00;0921673;ANTONY VOLLEY;0923959;AS.SP.VOLTAIRE CHATENAY; 2/0;25-13,25-14;50-27;GYMNASE ADOLPHE PAJEAUD;OCTAVIE LUDIVINE;;;
ACJEUNES;02;CX1005;2022-11-13;00:00;0923959;AS.SP.VOLTAIRE CHATENAY;0912770;ASV - ARTS ET SPORTS A VILLEBON; 1/2;15-25,26-24,5-15;46-64;GYMNASE ADOLPHE PAJEAUD;OCTAVIE LUDIVINE;;;
ACJEUNES;02;CX1006;2022-11-13;00:00;0921673;ANTONY VOLLEY;0912770;ASV - ARTS ET SPORTS A VILLEBON; 1/2;22-25,25-21,9-15;56-61;GYMNASE ADOLPHE PAJEAUD;OCTAVIE LUDIVINE;;;
ACJEUNES;02;CX2004;2022-11-13;11:00;0783185;VESINET STADE ST-GERMANOIS VB;0955698;AS VOLLEY-BALL TAVERNY SAINT-LEU; 0/2;21-25,22-25;43-50;LES MERLETTES MAC NAIR;DUFOUR ISABELLE;;;
ACJEUNES;02;CX2005;2022-11-13;00:00;0955698;AS VOLLEY-BALL TAVERNY SAINT-LEU;0941104;ENTENTE SPORTIVE DE VILLIERS; 2/0;25-15,26-24;51-39;LES MERLETTES MAC NAIR;DUFOUR ISABELLE;;;
ACJEUNES;02;CX2006;2022-11-13;00:00;0783185;VESINET STADE ST-GERMANOIS VB;0941104;ENTENTE SPORTIVE DE VILLIERS; 2/0;25-20,30-28;55-48;LES MERLETTES MAC NAIR;DUFOUR ISABELLE;;;
ACJEUNES;02;CX3004;2022-11-13;11:00;0921678;SURESNES VOLLEY-BALL CLUB;0954172;CSM EAUBONNE; 2/0;25-23,25-21;50-44;GYMNASE DES COTTAGES;LIKILIKI ATELEA;;;
ACJEUNES;02;CX3005;2022-11-13;00:00;0954172;CSM EAUBONNE;0785464;CONFLANS-ANDRESY-JOUY VB; 0/2;5-25,9-25;14-50;GYMNASE DES COTTAGES;LIKILIKI ATELEA;;;
ACJEUNES;02;CX3006;2022-11-13;00:00;0921678;SURESNES VOLLEY-BALL CLUB;0785464;CONFLANS-ANDRESY-JOUY VB; 0/2;9-25,14-25;23-50;GYMNASE DES COTTAGES;LIKILIKI ATELEA;;;
ACJEUNES;02;CX4004;2022-11-13;11:00;0784696;AS VOLLEY-BALL VELIZY;0923631;CHAVILLE-SEVRES VOLLEY-BALL; 2/0;25-10,25-18;50-28;CENTRE SPORTIF ROBERT WAGNER;BRANNENS SIMON;;;
ACJEUNES;02;CX4005;2022-11-13;00:00;0923631;CHAVILLE-SEVRES VOLLEY-BALL;0921672;SAINT-CLOUD PARIS SF; 0/2;10-25,8-25;18-50;CENTRE SPORTIF ROBERT WAGNER;BRANNENS SIMON;;;
ACJEUNES;02;CX4006;2022-11-13;00:00;0784696;AS VOLLEY-BALL VELIZY;0921672;SAINT-CLOUD PARIS SF; 0/2;16-25,16-25;32-50;CENTRE SPORTIF ROBERT WAGNER;BRANNENS SIMON;;;
ACJEUNES;02;CX5004;2022-11-13;10:00;0926073;COURBEVOIE SPORTS;0927953;ASNIERES VOLLEY 92; 0/2;12-25,12-25;24-50;COSOM DES RENARDIÈRES;ANQUETIN REMY;;;
ACJEUNES;02;CX5005;2022-11-13;00:00;0927953;ASNIERES VOLLEY 92;0950027;I.A.F.V.O.; 2/0;25-14,25-17;50-31;COSOM DES RENARDIÈRES;ANQUETIN REMY;;;
ACJEUNES;02;CX5006;2022-11-13;00:00;0926073;COURBEVOIE SPORTS;0950027;I.A.F.V.O.; 1/2;25-23,23-25,14-16;62-64;COSOM DES RENARDIÈRES;ANQUETIN REMY;;;
ACJEUNES;02;CX6004;2022-11-13;11:00;0934829;CLUB SPORTIF MUN EPINAY;0788680;AS. SP DE SARTROUVILLE; 0/2;11-25,8-25;19-50;GYMNASE JEAN JAURÈS;HAROUN MEHDI;;;
ACJEUNES;02;CX6005;2022-11-13;00:00;0788680;AS. SP DE SARTROUVILLE;0776894;VB TORCY MARNE LA VALLEE; 2/0;25-10,25-11;50-21;GYMNASE JEAN JAURÈS;HAROUN MEHDI;;;
ACJEUNES;02;CX6006;2022-11-13;00:00;0934829;CLUB SPORTIF MUN EPINAY;0776894;VB TORCY MARNE LA VALLEE; 1/2;29-27,20-25,13-15;62-67;GYMNASE JEAN JAURÈS;HAROUN MEHDI;;;
ACJEUNES;02;CX7004;2022-11-13;11:00;0927924;C S M CLAMART;0929372;PLESSIS-ROBINSON VOLLEY-BALL; 0/2;7-25,13-25;20-50;GYMNASE DDU GUET;MARTUCCIELLO MICHEL;;;
ACJEUNES;02;CX7005;2022-11-13;00:00;0929372;PLESSIS-ROBINSON VOLLEY-BALL;0922431;ACBB; 2/0;25-14,25-6;50-20;GYMNASE DDU GUET;MARTUCCIELLO MICHEL;;;
ACJEUNES;02;CX7006;2022-11-13;00:00;0927924;C S M CLAMART;0922431;ACBB; 1/2;25-17,15-25,14-16;54-58;GYMNASE DDU GUET;MARTUCCIELLO MICHEL;;;
ACJEUNES;02;CX8004;2022-11-13;11:00;0758706;AS. SP. CULT. DUNOIS;0757777;PUC VOLLEY-BALL; 0/2;11-25,6-25;17-50;GYMNASE DUNOIS;PHAM THOMAS;;;
ACJEUNES;02;CX8005;2022-11-13;00:00;0757777;PUC VOLLEY-BALL;0946784;VINCENNES VOLLEY CLUB; 2/0;25-12,25-22;50-34;GYMNASE DUNOIS;PHAM THOMAS;;;
ACJEUNES;02;CX8006;2022-11-13;00:00;0758706;AS. SP. CULT. DUNOIS;0946784;VINCENNES VOLLEY CLUB; 0/2;19-25,12-25;31-50;GYMNASE DUNOIS;PHAM THOMAS;;;
ACJEUNES;02;CX9004;2022-11-13;11:00;0933876;USM. GAGNY VOLLEY;0775819;FS VAL D'EUROPE ESBLY COUPVRAY VB; 2/1;21-25,25-22,15-9;61-56;GYMNASE BERNARD VERITE;BATTENDIER GAELLE;;;
ACJEUNES;02;CX9005;2022-11-13;00:00;0775819;FS VAL D'EUROPE ESBLY COUPVRAY VB;0955773;AMICAL CS CORMEILLAIS; 2/1;25-22,24-26,15-12;64-60;GYMNASE BERNARD VERITE;BATTENDIER GAELLE;;;
ACJEUNES;02;CX9006;2022-11-13;00:00;0933876;USM. GAGNY VOLLEY;0955773;AMICAL CS CORMEILLAIS; 2/0;25-17,25-20;50-37;GYMNASE BERNARD VERITE;BATTENDIER GAELLE;;;
ACJEUNES;02;CXA004;2022-11-13;11:00;0503818;VOLLEY-BALL DES GREVES;0355169;VOLLEY BALL CLUB MALOUIN; 0/2;10-25,13-25;23-50;SALLE DES SPORTS DU VAL SAINT;MAUPAS PAUL;RENAUD CRYSTAL;;
ACJEUNES;02;CXA005;2022-11-13;00:00;0355169;VOLLEY BALL CLUB MALOUIN;0146341;VOLLEY CLUB HEROUVILLE; 2/0;25-18,25-13;50-31;SALLE DES SPORTS DU VAL SAINT;RENAUD CRYSTAL;MAUPAS PAUL;;
ACJEUNES;02;CXA006;2022-11-13;00:00;0503818;VOLLEY-BALL DES GREVES;0146341;VOLLEY CLUB HEROUVILLE; 0/2;8-25,13-25;21-50;SALLE DES SPORTS DU VAL SAINT;RENAUD CRYSTAL;MAUPAS PAUL;;
ACJEUNES;02;CXB004;2022-11-13;11:00;0353652;C.P.B. RENNES 35;0358885;ENT.SP.CULT. MOULINS; 0/2;16-25,9-25;25-50;GYMNASE ECHANGE;RUBIN THOMAS;ROHO GILLES LISA;;
ACJEUNES;02;CXB005;2022-11-13;00:00;0358885;ENT.SP.CULT. MOULINS;0505985;SPORTING CLUB COUTANCAIS; 2/0;25-18,25-21;50-39;GYMNASE ECHANGE;RUBIN THOMAS;ROHO GILLES LISA;;
