Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;02;BMT005;2021-11-14;00:00;0374835;MONTS VOLLEY-BALL;0444976;LES NEPTUNES NANTES VOLLEY ASSOCIATION; 2/0;25-20,25-16;50-36;GYMNASE CLAUDE ROBERT;BEZY MARY-EMMANUEL;;;
ACJEUNES;02;BMT006;2021-11-14;00:00;0454144;ETUDIANT CLUB ORLEANAIS;0444976;LES NEPTUNES NANTES VOLLEY ASSOCIATION; 0/2;22-25,16-25;38-50;GYMNASE CLAUDE ROBERT;BEZY MARY-EMMANUEL;;;
ACJEUNES;02;BMU004;2021-11-14;11:00;0132346;MARIGNANE VOLLEY-BALL;0307732;NIMES VOLLEY-BALL; 0/2;18-25,10-25;28-50;CARESTIER;RODRIGUEZ THEO;;;
ACJEUNES;02;BMU005;2021-11-14;00:00;0307732;NIMES VOLLEY-BALL;0067689;US CAGNES VOLLEY-BALL; 2/0;25-17,25-8;50-25;CARESTIER;RODRIGUEZ THEO;;;
ACJEUNES;02;BMU006;2021-11-14;00:00;0132346;MARIGNANE VOLLEY-BALL;0067689;US CAGNES VOLLEY-BALL; 2/1;22-25,25-11,15-10;62-46;CARESTIER;RODRIGUEZ THEO;;;
ACJEUNES;02;BMV004;2021-11-14;11:00;0833350;VOLLEY PRADETAN GARDEEN;0836296;DRAGUIGNAN UNION CLUB VAR VB; 1/2;15-25,26-24,8-15;49-64;JACQUES TROIN;LECHAT CHRISTINE;;;
ACJEUNES;02;BMV005;2021-11-14;00:00;0836296;DRAGUIGNAN UNION CLUB VAR VB;0066927;NICE VOLLEY-BALL; 1/2;23-25,25-17,11-15;59-57;JACQUES TROIN;LECHAT CHRISTINE;;;
ACJEUNES;02;BMV006;2021-11-14;00:00;0833350;VOLLEY PRADETAN GARDEEN;0066927;NICE VOLLEY-BALL; 2/1;25-20,19-25,15-12;59-57;JACQUES TROIN;LECHAT CHRISTINE;;;
ACJEUNES;02;BMW004;2021-11-14;11:30;0060036;PAYS DE GRASSE VOLLEY-BALL;0833351;VIDAUBAN VOLLEY-BALL; 2/0;25-20,25-23;50-43;SALLE OMNISPORTS;RAOUNI RAJAA;;;
ACJEUNES;02;BMW005;2021-11-14;00:00;0833351;VIDAUBAN VOLLEY-BALL;0132348;MARSEILLE VOLLEY 13; 2/0;25-15,25-16;50-31;SALLE OMNISPORTS;RAOUNI RAJAA;;;
ACJEUNES;02;BMW006;2021-11-14;00:00;0060036;PAYS DE GRASSE VOLLEY-BALL;0132348;MARSEILLE VOLLEY 13; 2/0;28-26,25-14;53-40;SALLE OMNISPORTS;RAOUNI RAJAA;;;
